requests,cacheSize,hitRatio,throughput,hitLatency
49999,2500,0.0642013,216.455,4.62
50000,5000,0.08856,227.673,4.39
50000,7500,0.10374,244.648,4.09
50000,10000,0.11876,270.781,3.69
49999,12500,0.129603,297.68,3.36
49999,15000,0.262785,336.975,2.97
49999,17500,0.398388,391.02,2.56
49999,20000,0.539231,472.844,2.11
